,ghi_w_m2,ghi_clear_w_m2,temp_c,humidity_pct,wind_speed_ms
2023-01-01 00:00:00,0.0,0.0,15.47,70.47,2.11
2023-01-01 01:00:00,0.0,0.0,14.47,73.89,2.02
2023-01-01 02:00:00,0.0,0.0,13.58,76.33,1.97
2023-01-01 03:00:00,0.0,0.0,12.87,77.83,1.97
2023-01-01 04:00:00,0.0,0.0,12.3,78.93,2.01
2023-01-01 05:00:00,0.0,0.0,11.79,80.07,2.01
2023-01-01 06:00:00,15.73,15.55,11.8,78.92,2.29
2023-01-01 07:00:00,147.2,149.07,13.7,69.22,3.14
2023-01-01 08:00:00,342.55,348.08,16.74,60.2,2.5
2023-01-01 09:00:00,542.58,545.45,21.3,43.02,3.29
2023-01-01 10:00:00,698.0,700.2,25.01,32.91,3.95
2023-01-01 11:00:00,783.83,785.28,27.99,26.26,3.7
2023-01-01 12:00:00,830.47,831.2,29.67,24.07,3.03
2023-01-01 13:00:00,756.33,756.33,30.34,23.69,2.6
2023-01-01 14:00:00,607.67,608.2,30.35,24.13,2.4
2023-01-01 15:00:00,407.3,408.08,29.7,25.92,2.34
2023-01-01 16:00:00,190.8,191.35,27.66,38.17,1.61
2023-01-01 17:00:00,30.05,30.15,23.39,57.05,1.34
2023-01-01 18:00:00,0.0,0.0,21.25,58.65,1.55
2023-01-01 19:00:00,0.0,0.0,20.34,60.02,1.67
2023-01-01 20:00:00,0.0,0.0,19.58,61.42,1.66
2023-01-01 21:00:00,0.0,0.0,18.92,62.71,1.56
2023-01-01 22:00:00,0.0,0.0,18.31,63.78,1.49
2023-01-01 23:00:00,0.0,0.0,17.64,65.01,1.48
2023-01-02 00:00:00,0.0,0.0,16.88,66.63,1.58
2023-01-02 01:00:00,0.0,0.0,16.11,68.22,1.81
2023-01-02 02:00:00,0.0,0.0,15.27,70.52,1.99
2023-01-02 03:00:00,0.0,0.0,14.42,73.16,2.08
2023-01-02 04:00:00,0.0,0.0,13.65,75.92,2.05
2023-01-02 05:00:00,0.0,0.0,13.0,78.3,2.04
2023-01-02 06:00:00,16.05,16.05,12.96,77.49,2.54
2023-01-02 07:00:00,173.27,173.38,14.69,68.81,3.55
2023-01-02 08:00:00,362.98,363.15,17.59,60.19,3.03
2023-01-02 09:00:00,563.88,564.08,21.91,44.93,3.78
2023-01-02 10:00:00,717.2,717.35,25.46,36.46,4.11
2023-01-02 11:00:00,802.35,802.47,28.8,28.07,4.01
2023-01-02 12:00:00,802.67,802.75,30.56,25.56,3.32
2023-01-02 13:00:00,727.25,727.3,31.18,25.35,2.91
2023-01-02 14:00:00,579.28,579.92,31.14,25.75,2.76
2023-01-02 15:00:00,381.7,382.65,30.46,27.49,2.74
2023-01-02 16:00:00,208.3,209.2,28.39,39.59,1.84
2023-01-02 17:00:00,28.48,28.6,24.14,57.81,1.36
2023-01-02 18:00:00,0.0,0.0,21.96,60.26,1.49
2023-01-02 19:00:00,0.0,0.0,21.05,61.61,1.55
2023-01-02 20:00:00,0.0,0.0,20.31,62.59,1.56
2023-01-02 21:00:00,0.0,0.0,19.68,63.24,1.55
2023-01-02 22:00:00,0.0,0.0,19.06,63.93,1.58
2023-01-02 23:00:00,0.0,0.0,18.44,64.5,1.71
2023-01-03 00:00:00,0.0,0.0,17.81,64.99,2.0
2023-01-03 01:00:00,0.0,0.0,17.13,65.96,2.42
2023-01-03 02:00:00,0.0,0.0,16.28,68.41,2.75
2023-01-03 03:00:00,0.0,0.0,15.36,71.84,2.89
2023-01-03 04:00:00,0.0,0.0,14.58,75.0,2.97
2023-01-03 05:00:00,0.0,0.0,13.93,77.56,3.06
2023-01-03 06:00:00,13.02,13.05,13.6,78.48,3.35
2023-01-03 07:00:00,142.0,142.18,14.75,72.99,3.76
2023-01-03 08:00:00,297.73,298.08,17.51,63.53,3.39
2023-01-03 09:00:00,480.33,480.8,21.85,47.6,4.26
2023-01-03 10:00:00,626.65,627.15,25.37,38.53,4.79
2023-01-03 11:00:00,708.75,709.1,28.39,30.52,4.94
2023-01-03 12:00:00,711.6,711.83,30.34,26.66,4.56
2023-01-03 13:00:00,636.72,636.78,31.03,26.03,4.09
2023-01-03 14:00:00,500.5,500.73,31.0,26.55,3.75
2023-01-03 15:00:00,324.7,325.02,30.28,28.69,3.38
2023-01-03 16:00:00,160.4,160.62,28.11,42.41,2.01
2023-01-03 17:00:00,24.73,24.73,24.14,58.74,1.46
2023-01-03 18:00:00,0.0,0.0,22.14,61.84,1.55
2023-01-03 19:00:00,0.0,0.0,21.37,63.39,1.56
2023-01-03 20:00:00,0.0,0.0,20.78,64.53,1.52
2023-01-03 21:00:00,0.0,0.0,20.29,65.59,1.5
2023-01-03 22:00:00,0.0,0.0,19.85,66.69,1.52
2023-01-03 23:00:00,0.0,0.0,19.39,67.97,1.58
2023-01-04 00:00:00,0.0,0.0,18.87,69.61,1.67
2023-01-04 01:00:00,0.0,0.0,18.31,71.53,1.81
2023-01-04 02:00:00,0.0,0.0,17.7,73.75,1.96
2023-01-04 03:00:00,0.0,0.0,17.05,76.43,2.06
2023-01-04 04:00:00,0.0,0.0,16.44,78.88,2.15
2023-01-04 05:00:00,0.0,0.0,15.9,80.91,2.27
2023-01-04 06:00:00,12.48,12.43,15.77,80.84,2.68
2023-01-04 07:00:00,120.68,121.05,16.98,74.74,3.38
2023-01-04 08:00:00,289.7,293.7,19.27,66.89,2.91
2023-01-04 09:00:00,473.15,481.35,22.92,52.21,3.62
2023-01-04 10:00:00,622.17,631.22,25.94,44.03,3.98
2023-01-04 11:00:00,711.35,716.17,28.76,36.29,4.16
2023-01-04 12:00:00,659.97,696.38,30.72,32.64,4.01
2023-01-04 13:00:00,607.97,623.28,31.51,31.82,3.81
2023-01-04 14:00:00,473.27,484.12,31.58,32.29,3.67
2023-01-04 15:00:00,298.92,305.58,30.62,35.49,3.23
2023-01-04 16:00:00,131.18,133.38,28.71,48.57,1.88
2023-01-04 17:00:00,23.52,23.4,25.62,63.5,1.28
2023-01-04 18:00:00,0.0,0.0,23.99,66.5,1.35
2023-01-04 19:00:00,0.0,0.0,23.32,67.54,1.43
2023-01-04 20:00:00,0.0,0.0,22.76,68.26,1.48
2023-01-04 21:00:00,0.0,0.0,22.27,68.87,1.51
2023-01-04 22:00:00,0.0,0.0,21.76,69.89,1.52
2023-01-04 23:00:00,0.0,0.0,21.26,71.04,1.57
2023-01-05 00:00:00,0.0,0.0,20.76,72.39,1.73
2023-01-05 01:00:00,0.0,0.0,20.23,74.35,1.97
2023-01-05 02:00:00,0.0,0.0,19.68,76.89,2.18
2023-01-05 03:00:00,0.0,0.0,19.07,80.01,2.18
2023-01-05 04:00:00,0.0,0.0,18.48,82.98,2.05
2023-01-05 05:00:00,0.0,0.0,17.99,85.15,1.99
2023-01-05 06:00:00,10.55,10.38,17.82,85.57,2.35
2023-01-05 07:00:00,97.85,97.62,18.9,80.15,3.12
